# specdump w=1024 bins=511 windows=32 segs=32768 z=-2.535938 h_norm=0.99755964
# fold=1 exposure=64 frame=800x800 seg_per_row=2.0000 pred_bin=512.0
# raw_bias=0.499942 raw_sigma=1.0124 bias=0.499453 sigma=1.0249
bin;p
318;0,001424573
319;0,001400996
320;0,001680610
321;0,001713644
322;0,002058103
323;0,002254493
324;0,001726270
325;0,002199089
326;0,001402150
327;0,002181923
328;0,001387720
329;0,001350017
330;0,002397933
331;0,001799782
332;0,001939596
333;0,002290695
334;0,001321076
335;0,001924559
336;0,002133994
337;0,002145041
338;0,001765596
339;0,002350237
340;0,001513670
341;0,002400933
342;0,002379635
343;0,001978665
344;0,001629552
345;0,001826375
346;0,001732057
347;0,002024435
348;0,002219371
349;0,001812843
350;0,001228947
351;0,002054460
352;0,002448752
353;0,001691264
354;0,001729052
355;0,002019839
356;0,001921076
357;0,002214395
358;0,002017800
359;0,002501281
360;0,002249652
361;0,001870834
362;0,002020524
363;0,001741125
364;0,002256345
365;0,001854929
366;0,001743245
367;0,002071395
368;0,001940378
369;0,001687736
370;0,001660570
371;0,001917556
372;0,001487992
373;0,001952902
374;0,002574009
375;0,002030866
376;0,001687946
377;0,001541018
378;0,001684507
379;0,002331468
380;0,001705044
381;0,002006363
382;0,001975421
383;0,001848487
384;0,002005387
385;0,001703957
386;0,002597644
387;0,001467923
388;0,001623750
389;0,001495724
390;0,001673852
391;0,001684875
392;0,001808559
393;0,001561311
394;0,001518137
395;0,001819684
396;0,001447842
397;0,001529122
398;0,002171063
399;0,002079981
400;0,001739971
401;0,001627322
402;0,002450522
403;0,002455114
404;0,001886602
405;0,001541059
406;0,001968291
407;0,002424351
408;0,001827979
409;0,001857409
410;0,002084706
411;0,001870251
412;0,002074426
413;0,002004517
414;0,001825959
415;0,002079987
416;0,001631195
417;0,002727910
418;0,001553812
419;0,001967787
420;0,001927789
421;0,001776766
422;0,001773026
423;0,001701449
424;0,002341711
425;0,001612649
426;0,001887331
427;0,002555517
428;0,002330175
429;0,002357441
430;0,001839579
431;0,002340757
432;0,001288874
433;0,001584108
434;0,001547624
435;0,001997707
436;0,002377854
437;0,001333716
438;0,002262938
439;0,001694059
440;0,001801352
441;0,001993364
442;0,002146463
443;0,002136067
444;0,002106677
445;0,002033328
446;0,002018477
447;0,001517848
448;0,002113436
449;0,002171166
450;0,002285536
451;0,001588271
452;0,001705748
453;0,001582319
454;0,001905848
455;0,002086434
456;0,002356993
457;0,001537126
458;0,002295597
459;0,001407007
460;0,001943017
461;0,002553629
462;0,002534220
463;0,001600454
464;0,002575203
465;0,002447227
466;0,001838158
467;0,002646403
468;0,002022248
469;0,002364845
470;0,001574951
471;0,002399659
472;0,002010677
473;0,002334259
474;0,001458177
475;0,001745979
476;0,001726854
477;0,001961413
478;0,002253351
479;0,002585213
480;0,001455745
481;0,001491529
482;0,001999710
483;0,001651605
484;0,001982089
485;0,001981173
486;0,001912269
487;0,001777886
488;0,002413807
489;0,002518464
490;0,001425404
491;0,001939357
492;0,001709074
493;0,002410423
494;0,001623736
495;0,002041528
496;0,002154310
497;0,001617548
498;0,002653532
499;0,002035217
500;0,002798757
501;0,001715239
502;0,002422044
503;0,001675354
504;0,001823477
505;0,001713093
506;0,002765833
507;0,002114011
508;0,001993755
509;0,001820302
510;0,002252470
511;0,002125115
