# specdump w=1024 bins=511 windows=32 segs=32768 z=-41.602344 h_norm=0.96893171
# fold=0 exposure=128 frame=800x800 seg_per_row=4.0000 pred_bin=256.0
# raw_bias=0.491186 raw_sigma=1.8359 bias=0.491186 sigma=1.8359
bin;p
477;0,002591322
478;0,003142235
479;0,003958341
480;0,003146908
481;0,006092716
482;0,006359473
483;0,007986210
484;0,007733100
485;0,006528827
486;0,004198003
487;0,002391102
488;0,002551556
489;0,002013585
490;0,002544185
491;0,001605791
492;0,002124400
493;0,002607720
494;0,001761179
495;0,002038772
496;0,001540381
497;0,001961007
498;0,001528723
499;0,001742152
500;0,001306778
501;0,001430667
502;0,002646392
503;0,001698437
504;0,001872670
505;0,002127335
506;0,001914768
507;0,002066617
508;0,001478842
509;0,001771580
510;0,001443796
511;0,001364946
