# elotto v3 mode=649 focus=off score=high items=346/5005 ranked=273 excl=73 void=0 blocks=4 paused_ms=0 pass_mean=0,000000 pass_sigma=1,022620 pass_chi2=284,4443 pass_stouffer=0,0000 v_eff=1,0201 null_flags=0 flush_timeouts=0 drift_t=0.00 unlimited=off runs_cap=100 rounds=1 run_s=1,50 run_segs=39130 gap_s=0,60 compacted=0 ent_w=0,600 ent_win=38 ent_h0=0,99789939 ent_sd=0,00013085 ent_n=273 ent_clamp=2 rank_mean=-0,022111 rank_sigma=3,201801 fw=3b4d8ed/5cba7061d053abab
# nodes=master,192.168.178.155,192.168.178.145,192.168.178.103
# fw_nodes=5cba7061d053abab,a0a5d77e03fcb942,a0a5d77e03fcb942,37175acddd1aa225
order;item;n1;n2;n3;n4;n5;n6;e1;e2;z_raw;z_ctr;block;k;skip_rank;z0;z1;z2;z3;round;zh_ctr;key;h0;h1;h2;h3
51;2108;4;10;14;25;36;43;0;0;1,033900;0,9986;0;4;0;1,302592;0,816444;0,671791;-0,723027;1;-19,6466;10,5385;0,1955;-0,1624;-0,2964;-242,3193
52;3136;4;23;27;28;38;39;0;0;0,374025;0,3387;0;4;0;-1,163897;1,647186;0,091987;0,172773;1;-1,7444;1,6393;-0,2124;1,1382;-2,0718;-205,6320
53;3307;10;14;16;23;27;36;0;0;0,454096;0,4188;0;4;0;-0,083646;2,543701;-1,663867;0,112005;1;-0,0499;0,2738;-0,8293;-0,7389;-0,4175;-201,4034
54;1008;3;10;23;25;27;28;0;0;1,512542;1,4772;0;4;0;1,464165;1,613584;0,220673;-0,273339;1;-1,6252;2,1716;-0,4219;-0,2442;0,0322;-205,9058
55;2275;4;10;16;28;38;39;0;0;-2,307299;-2,3426;0;4;0;-1,892405;-0,687757;-1,055467;-0,978970;1;1,6964;-2,7109;-0,9865;1,8159;-0,4532;-200,2728
56;4430;14;25;26;27;38;39;0;0;-1,882634;-1,9180;0;4;0;-1,750850;-0,132261;-0,959667;-0,922491;1;-5,8693;3,8196;0,5516;0,8194;-2,0103;-214,3887
57;2316;4;10;23;26;27;28;0;0;-0,175752;-0,2111;0;4;0;1,362646;1,296873;-0,489247;-2,521776;1;-3,3756;2,6916;1,6430;-0,2537;-0,9700;-210,4597
58;4066;10;27;28;32;39;43;0;0;-1,742866;-1,7782;0;4;0;-1,007328;0,187310;-1,322848;-1,342866;1;5,7393;-5,7618;-0,4862;-1,3616;1,1180;-191,0809
59;3907;10;23;26;28;36;43;0;0;-0,020614;-0,0560;0;4;0;-0,322431;0,942270;-1,535181;0,874114;1;-4,2554;3,5096;-0,9152;0,6887;-1,1587;-210,4149
60;2209;4;10;16;25;26;39;0;0;0,232112;0,1968;0;4;0;0,585523;0,037891;1,645517;-1,804707;1;3,6743;-2,9481;1,8243;1,2275;-1,6661;-197,3263
61;4080;10;28;36;38;39;43;0;0;-0,654752;-0,6901;0;4;0;0,170152;0,062913;-1,028299;-0,514269;1;-3,9552;2,9081;1,0349;0,3410;1,3130;-213,8886
62;502;3;4;16;36;38;39;0;0;0,692523;0,6572;0;4;0;-1,313316;1,559250;0,192791;0,946321;1;-2,5060;2,4497;-1,0995;2,3492;-0,1228;-209,4282
63;4613;16;23;26;27;38;43;0;0;0,915938;0,8806;0;4;0;0,496872;1,562825;-0,927495;0,699673;1;1,8108;-1,0182;-2,1211;-0,5742;-0,8238;-196,1486
64;1427;3;14;25;26;32;38;0;0;-1,422581;-1,4579;0;4;0;-0,338874;0,974442;0,021924;-3,502653;1;-4,8590;3,2343;-0,8042;0,8091;-0,1789;-212,8334
65;2182;4;10;16;23;26;43;0;0;0,924874;0,8895;0;4;0;-0,523325;2,290618;-0,056002;0,138457;1;5,5905;-4,1581;-0,2304;0,1989;0,6774;-192,7542
66;2505;4;14;16;23;25;43;0;0;0,887697;0,8524;0;4;0;-0,866488;2,776766;-0,912482;0,777599;1;9,0145;-7,0277;0,0268;0,2289;1,3772;-186,8932
67;1413;3;14;23;36;39;43;0;0;-0,040632;-0,0760;0;4;0;-0,423235;1,283289;-0,437772;-0,503545;1;4,2156;-3,5497;1,4570;0,8728;-1,2184;-195,9694
68;310;3;4;14;25;27;32;0;0;0,439083;0,4037;0;4;0;-0,111528;1,368365;-1,654573;1,275902;1;1,2155;-0,7874;-0,2217;-0,7684;0,9281;-200,7962
69;428;3;4;16;25;26;43;0;0;-2,364493;-2,3998;0;4;0;-2,022521;0,021448;-1,820436;-0,907477;1;6,8355;-7,0187;0,6043;-0,5774;-1,3522;-188,2931
70;2714;4;14;25;26;32;38;0;0;-0,817397;-0,8527;0;4;0;-0,646292;0,169437;-0,762348;-0,395591;1;0,4504;-0,8478;2,2613;-0,0069;0,7461;-205,3891
71;2677;4;14;23;27;36;39;0;0;-1,248138;-1,2835;0;4;0;-0,465416;1,023057;-0,763777;-2,290141;1;-3,6208;2,3007;-0,4905;-0,6815;-1,6858;-207,6730
72;3052;4;23;25;26;32;43;0;0;0,467323;0,4320;0;4;0;-0,916533;2,609474;-0,472803;-0,285493;1;7,8277;-6,2734;-1,5347;0,3559;-1,1137;-185,3415
73;1771;3;23;25;26;39;43;0;0;1,131487;1,0961;0;4;0;1,376229;1,323325;-0,833125;0,396545;1;2,3273;-1,3284;0,7416;1,1890;-0,4845;-200,0807
74;1126;3;10;25;28;36;39;0;0;0,373667;0,3383;0;4;0;-0,694192;0,681323;0,896277;-0,136074;1;3,7196;-2,9072;-0,2356;0,1275;0,4922;-196,2342
75;3132;4;23;27;28;32;43;0;0;1,372417;2,1840;1;4;0;1,385523;1,370987;-0,198511;0,186834;1;4,8930;-2,8598;-0,1095;-0,5064;-0,9953;-189,9306
76;1094;3;10;25;26;28;39;0;0;-1,082991;-0,2714;1;4;0;0,868633;-0,356986;-0,786893;-1,890737;1;0,6235;-0,6694;-0,8361;-0,7154;-0,1240;-198,4054
77;4647;16;23;27;32;36;43;0;0;-1,864404;-1,0529;1;4;0;0,227346;0,053381;-2,313257;-1,696277;1;-1,2950;0,4935;0,0352;1,2880;0,2806;-205,5218
78;235;3;4;14;16;25;38;0;0;-0,787370;0,0242;1;4;0;1,458446;-0,516414;-0,091987;-2,424785;1;-5,7585;4,8047;-1,0336;0,8193;-1,0172;-211,6133
79;3825;10;16;32;36;38;39;0;0;0,277153;1,0887;1;4;0;0,069348;-0,340542;1,206316;-0,380816;1;-4,5942;4,4265;-1,7648;-0,8521;0,2595;-208,1589
80;3940;10;23;27;38;39;43;0;0;-1,586655;-0,7751;1;4;0;-0,275246;0,641764;-1,725589;-1,814240;1;7,4851;-6,6579;-0,4657;-0,6718;0,1045;-185,3247
81;114;3;4;10;23;26;39;0;0;-1,201669;-0,3901;1;4;0;1,344058;-1,789694;0,878880;-2,836581;1;5,7522;-5,0025;0,2913;-0,3215;0,6087;-190,4020
82;1872;3;23;32;36;38;39;0;0;0,213882;1,0254;1;4;0;-0,616980;0,560977;1,064046;-0,580280;1;3,6050;-2,4307;0,3124;-1,1329;0,3441;-193,6416
83;2504;4;14;16;23;25;39;0;0;-0,755198;0,0563;1;4;0;2,159071;-1,491570;0,548585;-2,726483;1;1,0208;-0,8181;1,4580;0,2812;-1,2255;-199,7999
84;3002;4;16;26;38;39;43;0;0;-0,889962;-0,0784;1;4;0;-0,641287;-0,010247;-1,314508;0,186119;1;0,7652;-0,6801;-0,9768;3,0060;2,2573;-204,0841
85;2583;4;14;16;27;28;32;0;0;-0,830265;-0,0187;1;4;0;-0,019303;-0,058862;-0,029789;-1,552577;1;3,6210;-3,0233;2,0817;-0,1752;-1,3778;-194,6146
86;1276;3;14;16;26;27;32;0;0;-1,044385;-0,2328;1;4;0;0,249509;1,538994;-1,145070;-2,732202;1;-4,8543;3,9099;-1,4438;0,0036;0,5122;-210,1086
87;2013;4;10;14;16;25;27;0;0;-2,289069;-1,4775;1;4;0;-2,368544;-0,785225;-0,300030;-1,124338;1;5,1054;-5,0675;-0,1085;-1,4617;-0,9188;-188,6281
88;1993;3;27;32;36;38;43;0;0;0,660352;1,4719;1;4;0;0,351028;-0,164671;-0,070539;1,204886;1;4,2229;-2,6972;1,6573;-0,4192;-0,5130;-193,6072
89;3915;10;23;26;32;38;43;0;0;-2,511410;-1,6999;1;4;0;-0,817159;-1,415788;-0,814775;-1,975098;1;-5,4951;3,6293;0,1412;0,3070;-1,3169;-211,4495
90;527;3;4;23;25;32;43;0;0;0,537385;1,3489;1;4;0;1,013763;1,129342;1,118380;-2,186715;1;2,3299;-1,1904;-0,8058;0,8622;0,0525;-196,7769
91;3778;10;16;26;28;32;43;0;0;-0,004528;0,8070;1;4;0;1,461305;-0,429193;-0,698958;-0,342210;1;2,7067;-1,8045;-0,2979;0,0589;-0,6659;-195,0096
92;3768;10;16;26;27;32;43;0;0;-1,563778;-0,7522;1;4;0;-0,358177;-1,231338;-0,471612;-1,066429;1;-2,7314;1,8554;-0,0738;-0,8233;-0,0900;-205,8037
93;3381;10;14;16;27;32;38;0;0;-1,071910;-0,2604;1;4;0;-0,821448;0,376527;0,827406;-2,526304;1;1,0799;-1,0430;0,8572;0,2540;1,0230;-201,3022
94;3105;4;23;26;27;36;43;0;0;-1,119810;-0,3083;1;4;0;-0,402502;0,808341;-0,009771;-2,635688;1;-4,7019;3,7412;0,4153;-0,8650;-1,0161;-209,2658
95;2768;4;14;26;27;36;39;0;0;-3,204886;-2,3933;1;4;0;-1,143879;-0,890319;-2,989575;-1,386000;1;5,2487;-5,6947;1,2308;0,5932;-2,3498;-190,3047
96;3961;10;25;26;27;32;36;0;0;-2,198631;-1,3871;1;4;0;-1,334764;0,496634;-1,611916;-1,947216;1;-1,5632;0,5313;-0,9289;2,1392;-0,9888;-204,6758
97;168;3;4;10;26;27;38;0;0;0,701817;1,5134;1;4;0;1,804469;-0,758773;0,828121;-0,470182;1;8,0272;-5,8396;-0,2879;0,6529;-0,3629;-185,2755
98;2266;4;10;16;27;38;43;0;0;-0,867441;-0,0559;1;4;0;0,657730;-1,283527;-1,200835;0,091749;1;1,0855;-0,9342;-0,5464;-0,0630;-0,7346;-197,8129
